Model created by CAC model builder python script

500 CAC_elements
1 atom types

6.05884583085506e-08 18.074999939411544 xlo xhi
6.05884583085506e-08 18.074999939411544 ylo yhi
6.05884583085506e-08 18.074999939411544 zlo zhi
Masses

1 63.546
CAC_Elements

1	Atom	1	1	1	1
	1	1	1	6.058845869461038e-08	6.058845869461038e-08	6.058845869461038e-08
2	Atom	1	1	1	1
	1	1	1	1.8075000484707666	1.8075000484707666	6.058845869461038e-08
3	Atom	1	1	1	1
	1	1	1	1.8075000484707666	6.058845869461038e-08	1.8075000484707666
4	Atom	1	1	1	1
	1	1	1	6.058845869461038e-08	1.8075000484707666	1.8075000484707666
5	Atom	1	1	1	1
	1	1	1	3.615000036353075	6.058845869461038e-08	6.058845869461038e-08
6	Atom	1	1	1	1
	1	1	1	5.422500024235384	1.8075000484707666	6.058845869461038e-08
7	Atom	1	1	1	1
	1	1	1	5.422500024235384	6.058845869461038e-08	1.8075000484707666
8	Atom	1	1	1	1
	1	1	1	3.615000036353075	1.8075000484707666	1.8075000484707666
9	Atom	1	1	1	1
	1	1	1	7.230000012117693	6.058845869461038e-08	6.058845869461038e-08
10	Atom	1	1	1	1
	1	1	1	9.037500000000001	1.8075000484707666	6.058845869461038e-08
11	Atom	1	1	1	1
	1	1	1	9.037500000000001	6.058845869461038e-08	1.8075000484707666
12	Atom	1	1	1	1
	1	1	1	7.230000012117692	1.8075000484707666	1.8075000484707666
13	Atom	1	1	1	1
	1	1	1	10.844999987882309	6.058845869461038e-08	6.058845869461038e-08
14	Atom	1	1	1	1
	1	1	1	12.652499975764616	1.8075000484707666	6.058845869461038e-08
15	Atom	1	1	1	1
	1	1	1	12.652499975764616	6.058845869461038e-08	1.8075000484707666
16	Atom	1	1	1	1
	1	1	1	10.844999987882309	1.8075000484707666	1.8075000484707666
17	Atom	1	1	1	1
	1	1	1	14.459999963646926	6.058845869461038e-08	6.058845869461038e-08
18	Atom	1	1	1	1
	1	1	1	16.267499951529235	1.8075000484707666	6.058845869461038e-08
19	Atom	1	1	1	1
	1	1	1	16.267499951529235	6.058845869461038e-08	1.8075000484707666
20	Atom	1	1	1	1
	1	1	1	14.459999963646926	1.8075000484707666	1.8075000484707666
21	Atom	1	1	1	1
	1	1	1	6.058845869461038e-08	3.615000036353075	6.058845869461038e-08
22	Atom	1	1	1	1
	1	1	1	1.8075000484707666	5.422500024235384	6.058845869461038e-08
23	Atom	1	1	1	1
	1	1	1	1.8075000484707666	3.615000036353075	1.8075000484707666
24	Atom	1	1	1	1
	1	1	1	6.058845869461038e-08	5.422500024235384	1.8075000484707666
25	Atom	1	1	1	1
	1	1	1	3.615000036353075	3.615000036353075	6.058845869461038e-08
26	Atom	1	1	1	1
	1	1	1	5.422500024235384	5.422500024235384	6.058845869461038e-08
27	Atom	1	1	1	1
	1	1	1	5.422500024235384	3.615000036353075	1.8075000484707666
28	Atom	1	1	1	1
	1	1	1	3.615000036353075	5.422500024235384	1.8075000484707666
29	Atom	1	1	1	1
	1	1	1	7.230000012117693	3.615000036353075	6.058845869461038e-08
30	Atom	1	1	1	1
	1	1	1	9.037500000000001	5.422500024235384	6.058845869461038e-08
31	Atom	1	1	1	1
